GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support,Total
3702310,Hoke County,"356,344",0,"273,614","539,183","5,338,769","7,898,812","2,912,544","10,660,507",46,"3,277,914",90,"761,093","2,473,490","631,158","57,382",0,0,"-36,367",0,0,434,"27,534,745",13,"1,430,650","2,699,142",0,400,"2,795,200","117,005","138,411","69,503,252"
3702340,Hyde County,"22,304",0,"17,150","65,493","363,990",0,"177,090","732,659",3,"226,680",6,"50,073","154,819","464,628","3,592",0,0,"-37,324",0,0,28,"1,929,049",3,"292,107","265,541","1,710,000",73,"471,726","16,935","10,118","6,914,326"
3702370,Iredell-Statesville,"805,421",0,"619,124","1,041,267","9,545,641",0,"5,352,190","3,139,970",103,"8,154,613",205,"1,756,047","5,590,671","951,809","129,696",0,0,"-247,683",0,0,938,"66,825,617",36,"4,095,000","5,327,859",0,"1,017","7,044,759","305,507","448,071","120,080,158"
3702400,Mooresville City,"240,587",0,"184,991","228,510","3,583,683",0,"1,614,819","941,992",31,"2,340,841",61,"530,050","1,669,987","469,202","38,741",0,0,"-55,701",0,0,283,"19,634,944",9,"1,009,971","1,122,019",0,328,"2,347,824","94,846","108,438","35,865,157"
3702430,Jackson County,"143,697",0,"110,331","171,382","2,411,435",0,"966,098","646,467",19,"1,506,149",36,"307,290","997,442","575,673","23,139",0,0,"-23,567",0,0,171,"11,951,016",10,"1,074,840","1,072,515",0,211,"1,521,521","59,189","63,192","23,434,112"
3702560,Johnston County,"1,462,429",0,"1,123,745","2,973,814","24,681,468","15,826,139","10,236,643","11,439,342",186,"14,311,770",371,"3,128,444","10,151,160","1,004,474","235,493",0,0,"-177,790",0,0,"1,723","119,935,337",46,"5,084,702","10,840,120",0,"1,699","11,660,237","514,002","651,202","243,620,302"
3702610,Jones County,"40,571",0,"31,148","54,173","776,465","243,618","295,713","224,722",5,"404,695",11,"91,801","281,614","523,248","6,533",0,0,"-13,322",0,0,49,"3,569,126",5,"480,615","411,345","1,820,000",92,"632,776","22,822","13,746","9,870,838"
3702640,Lee County,"393,797",0,"302,314","1,251,797","5,274,446","3,795,584","2,835,464","2,789,034",50,"3,871,900",100,"825,318","2,733,463","710,313","63,413",0,0,"-74,026",0,0,468,"31,379,294",16,"1,736,528","2,143,077",0,477,"3,312,765","140,415","183,085","63,274,184"
3702680,Lenoir County,"331,242",0,"254,656","382,595","6,239,284","4,633,460","2,458,588","3,355,456",42,"3,226,986",84,"717,282","2,299,250","827,028","53,340",0,0,"-45,102",0,0,395,"26,874,040",17,"1,904,051","2,497,473",0,404,"2,914,052","118,257","170,294","58,880,990"
3702760,Lincoln County,"451,196",0,"346,581","352,096","6,929,462",0,"3,190,301","1,957,863",58,"4,450,398",115,"962,579","3,131,885","779,925","72,656",0,0,"-90,815",0,0,533,"37,777,039",23,"2,499,180","2,528,959",0,563,"3,923,547","166,803","230,813","69,209,272"
