GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support
3702430,Jackson County,"290,031",0,"251,929","518,028","3,791,994",0,"1,406,313","2,321,545",41,"3,250,111",45,"384,112","1,183,814","944,481","359,500", 1 ," 79,271 ", - , 4 ," 317,084 ", 171 ," 11,951,016 ", 10 ," 1,074,840 "," 1,072,515 ", - , 211 ," 1,521,521 "," 59,189 "," 63,192 "
3702560,Johnston County,"2,951,705",0,"2,564,815","8,988,787","38,811,742","25,959,792","14,452,145","41,080,155",378,"29,085,210",457,"3,853,636","12,047,900","1,647,995","3,658,700", 14 ," 1,077,230 ", - , 33 ," 2,539,185 "," 1,723 "," 119,935,337 ", 46 ," 5,084,702 "," 10,840,120 ", - ," 1,699 "," 11,660,237 "," 514,002 "," 651,202 "
3702610,Jones County,"81,886",0,"71,126","85,994","1,220,995","411,238","429,590","807,005",14,"1,133,146",13,"108,492","334,234","858,470","101,500", 4 ," 323,756 ", - , 1 ," 80,939 ", 49 ," 3,569,126 ", 5 ," 480,615 "," 411,345 "," 1,820,000 ", 92 ," 632,776 "," 22,822 "," 13,746 "
3702640,Lee County,"794,823",0,"690,359","3,783,738","8,294,095","5,598,789","4,023,036","10,015,781",106,"8,208,428",123,"1,015,141","3,244,210","1,165,379","985,200", 12 ," 929,256 ", - , 9 ," 696,942 ", 468 ," 31,379,294 ", 16 ," 1,736,528 "," 2,143,077 ", - , 477 ," 3,312,765 "," 140,415 "," 183,085 "
3702680,Lenoir County,"668,565",0,"581,060","1,156,448","9,811,308","6,263,865","3,410,135","12,049,877",97,"7,452,801",104,"888,063","2,728,864","1,356,868","828,700", 14 ," 1,075,662 ", - , 8 ," 614,664 ", 395 ," 26,874,040 ", 17 ," 1,904,051 "," 2,497,473 ", - , 404 ," 2,914,052 "," 118,257 "," 170,294 "
3702760,Lincoln County,"910,674",0,"791,187","1,064,262","10,896,616",0,"4,537,985","7,030,939",131,"10,051,761",141,"1,180,205","3,717,077","1,279,588","1,128,800", 7 ," 537,117 ", - , 11 ," 844,041 ", 533 ," 37,777,039 ", 23 ," 2,499,180 "," 2,528,959 ", - , 563 ," 3,923,547 "," 166,803 "," 230,813 "
3702820,Macon County,"359,332",0,"312,184","908,785","4,464,940",0,"1,912,866","2,896,396",53,"3,900,694",56,"457,142","1,466,678","894,951","445,400", 3 ," 220,794 ", - , 4 ," 294,392 ", 214 ," 15,509,730 ", 12 ," 1,296,792 "," 1,534,883 ", - , 244 ," 1,693,604 "," 69,135 "," 69,874 "
3702880,Madison County,"176,278",0,"153,062","96,313","2,547,075","347,550","913,754","1,525,580",28,"2,133,068",28,"242,278","719,509","992,790","218,500", - , - , - , 2 ," 152,362 ", 105 ," 7,706,899 ", 6 ," 670,542 "," 1,307,267 "," 1,560,000 ", 151 ," 1,119,665 "," 40,887 "," 33,601 "
3702940,Martin County,"224,200",0,"194,679","219,457","3,691,884","2,300,421","1,218,805","4,090,336",37,"2,764,233",35,"299,788","915,110","949,457","277,900", 2 ," 149,418 ", - , 3 ," 224,127 ", 135 ," 9,498,780 ", 9 ," 926,739 "," 831,027 "," 1,498,000 ", 163 ," 1,182,565 "," 44,507 "," 59,565 "
3703000,McDowell County,"469,859",0,"408,254","1,086,965","7,246,496","3,662,545","2,311,672","6,621,909",71,"5,206,785",73,"608,514","1,917,812","1,307,353","582,400", 6 ," 440,010 ", - , 6 ," 440,010 ", 277 ," 19,675,848 ", 14 ," 1,494,906 "," 1,393,479 ", - , 303 ," 2,237,958 "," 87,167 "," 108,820 "
3703060,Mecklenburg County,"11,748,087",0,"10,206,667","61,273,861","99,822,451",0,"60,509,262","87,245,583","1,495","115,120,980","1,820","15,418,605","47,951,874","5,273,304","14,562,000", 24 ," 1,848,096 ", - , 125 ," 9,625,500 "," 6,924 "," 475,675,697 ", 178 ," 20,381,534 "," 62,414,819 ", - ," 6,278 "," 44,498,464 "," 1,913,422 "," 3,035,124 "
