LEA,GEOID,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,Driver Training,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,Yancey County,,
Haywood County Schools,3702040,"278,640","1,524,670","214,177","155,926","4,143,721",0,"2,044,188","281,380",33,"2,581,854",71,"597,973","1,934,122","772,607",0,0,0,"-139,293",0,0,333,"23,578,366",15,"1,621,050","1,708,681",0,361,"2,542,884","104,961","122,566","44,068,473",,,,,,,,,,,,,,,,,,,,,,,,,,,Halifax County,,
Henderson County Schools,3702100,"532,417","2,532,664","408,921","1,210,086","7,810,011",0,"3,469,493","524,963",64,"4,856,896",135,"1,155,688","3,695,669","806,257",0,0,0,"-122,579",0,0,628,"44,314,772",23,"2,620,666","3,093,911",0,650,"4,490,200","193,224","231,195","81,824,455",,,,,,,,,,,,,,,,,,,,,,,,,,,Roanoke Rapids City,,
Hertford County Schools,3702160,"103,725","800,036","79,733","70,514","1,534,969","1,494,512","675,145","883,500",13,"1,062,984",27,"230,860","719,990","614,109",0,0,0,"-54,762",0,0,123,"8,358,799",7,"729,386","1,195,943","1,470,000",169,"1,194,492","46,503","53,265","21,263,703",,,,,,,,,,,,,,,,,,,,,,,,,,,Weldon City,,
Hickory City Schools,3702190,"160,405","924,815","123,292","485,732","2,390,050",0,"1,143,995","177,787",19,"1,437,084",41,"346,033","1,113,417","489,696",0,0,0,"-41,921",0,0,191,"13,310,957",9,"969,390","493,711",0,224,"1,579,648","63,283","79,038","25,246,411",,,,,,,,,,,,,,,,,,,,,,,,,,,Harnett County,,
Hoke County Schools,3702250,"356,344","2,037,804","273,614","451,975","5,244,768","7,442,688","2,775,594","2,423,927",43,"3,064,137",90,"761,093","2,473,490","631,158",0,0,0,"-39,419",0,0,434,"27,534,745",13,"1,430,650","2,699,142",0,400,"2,795,200","117,005","138,411","62,612,326",,,,,,,,,,,,,,,,,,,,,,,,,,,Haywood County,,
Hyde County Schools,3702280,"22,304","370,152","17,150","65,493","313,839",0,"168,786","166,588",3,"226,680",6,"50,073","154,819","464,628",0,0,0,"-40,456",0,0,28,"1,929,049",3,"292,107","265,541","1,710,000",73,"471,726","16,935","10,118","6,675,532",,,,,,,,,,,,,,,,,,,,,,,,,,,Henderson County,,
Iredell-Statesville Schools,3702310,"805,421","3,749,195","619,124","789,676","9,545,641",0,"5,101,092","713,949",96,"7,600,416",205,"1,756,047","5,590,671","951,809",0,0,0,"-268,467",0,0,938,"66,825,617",36,"4,095,000","5,327,859",0,"1,017","7,044,759","305,507","448,071","121,001,386",,,,,,,,,,,,,,,,,,,,,,,,,,,Hertford County,,
Jackson County Schools,3702340,"143,697","842,761","110,331","158,553","2,095,935",0,"918,947","146,990",17,"1,347,607",36,"307,290","997,442","575,673",0,0,0,"-25,545",0,0,171,"11,951,016",10,"1,074,840","1,072,515",0,211,"1,521,521","59,189","63,192","23,361,953",,,,,,,,,,,,,,,,,,,,,,,,,,,Hoke County,,
Johnston County Schools,3702370,"1,462,429","6,464,167","1,123,745","2,579,932","21,949,594","14,614,677","9,752,087","2,601,014",174,"13,388,430",371,"3,128,444","10,151,160","1,004,474",0,0,0,"-192,709",0,0,"1,723","119,935,337",46,"5,084,702","10,840,120",0,"1,699","11,660,237","514,002","651,202","236,713,045",,,,,,,,,,,,,,,,,,,,,,,,,,,Hyde County,,
Jones County Schools,3702400,"40,571","332,314","31,148","54,173","598,093","224,427","281,310","51,096",5,"404,695",11,"91,801","281,614","523,248",0,0,0,"-14,440",0,0,49,"3,569,126",5,"480,615","411,345","1,820,000",92,"632,776","22,822","13,746","9,850,480",,,,,,,,,,,,,,,,,,,,,,,,,,,Iredell-Statesville,,
Kannapolis City Schools,3702430,"218,003","1,151,154","167,446","574,230","3,143,032","373,449","1,481,567","374,473",26,"1,862,640",55,"449,667","1,513,227","483,536",0,0,0,"-22,091",0,0,260,"16,984,188",8,"919,256","915,127",0,280,"1,990,800","80,164","88,392","32,748,260",,,,,,,,,,,,,,,,,,,,,,,,,,,Mooresville City,,
Lee County Schools,3702560,"393,797","2,133,104","302,314","1,244,965","5,274,446","3,534,306","2,700,578","634,155",47,"3,639,586",100,"825,318","2,733,463","710,313",0,0,0,"-80,238",0,0,468,"31,379,294",16,"1,736,528","2,143,077",0,477,"3,312,765","140,415","183,085","62,941,271",,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson County,,
Lenoir County Schools,3702610,"331,242","2,445,801","254,656","305,224","4,922,807","4,341,145","2,344,252","762,945",40,"3,073,320",84,"717,282","2,299,250","827,028",0,0,0,"-48,887",0,0,395,"26,874,040",17,"1,904,051","2,497,473",0,404,"2,914,052","118,257","170,294","57,054,231",,,,,,,,,,,,,,,,,,,,,,,,,,,Johnston County,,
Lexington City Schools,3702640,"122,192","777,414","93,928","366,393","1,759,680","787,904","843,931","1,019,127",15,"1,042,635",31,"265,127","848,173","454,653",0,0,0,"-34,219",0,0,146,"9,891,998",6,"655,410","493,219",0,177,"1,301,481","48,803","56,510","20,794,360",,,,,,,,,,,,,,,,,,,,,,,,,,,Jones County,,
Lincoln County Schools,3702680,"451,196","2,056,396","346,581","259,667","6,616,726",0,"3,038,150","445,168",54,"4,143,474",115,"962,579","3,131,885","779,925",0,0,0,"-98,436",0,0,533,"37,777,039",23,"2,499,180","2,528,959",0,563,"3,923,547","166,803","230,813","69,259,652",,,,,,,,,,,,,,,,,,,,,,,,,,,Lee County,,
Macon County Schools,3702760,"178,032","1,144,153","136,752","278,377","2,603,530",0,"1,256,519","183,387",21,"1,545,558",45,"367,347","1,235,774","545,484",0,0,0,"-46,756",0,0,214,"15,509,730",12,"1,296,792","1,534,883",0,244,"1,693,604","69,135","69,874","29,602,175",,,,,,,,,,,,,,,,,,,,,,,,,,,Lenoir County,,
Madison County Schools,3702820,"87,337","556,907","67,001","54,677","1,306,406","97,357","618,882","96,593",11,"837,991",23,"199,014","606,234","605,118",0,0,0,"-49,264",0,0,105,"7,706,899",6,"670,542","1,307,267","1,560,000",151,"1,119,665","40,887","33,601","17,523,114",,,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln County,,
Martin County Schools,3702880,"111,080","772,987","85,221","80,793","1,654,472","1,679,155","787,669","258,982",13,"971,217",29,"248,396","771,041","578,706",0,0,0,"-37,336",0,0,135,"9,498,780",9,"926,739","831,027","1,498,000",163,"1,182,565","44,507","59,565","22,003,566",,,,,,,,,,,,,,,,,,,,,,,,,,,Macon County,,
McDowell County Schools,3702940,"232,793","1,245,460","178,861","315,331","3,443,529","2,103,961","1,556,583","419,270",28,"2,053,380",59,"491,813","1,615,884","796,848",0,0,0,"-41,352",0,0,277,"19,675,848",14,"1,494,906","1,393,479",0,303,"2,237,958","87,167","108,820","39,410,539",,,,,,,,,,,,,,,,,,,,,,,,,,,Madison County,,
